permno,mkt_cap,asset_name,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26
89823,667511.12,GLADSTONE COMMERCIAL CORP,0.005528,0.0,0.002199,0.00384,-0.002186,0.002191,-0.000546,-0.004921,-0.003846,0.012135,0.018801,-0.001337,-0.001607,-0.021459,-0.007675,-0.006345,-0.011758,0.007932,0.004778,-0.006993,0.00507,0.008969,-0.018333,0.003396,0.013536,-0.006121,0.00056,0.002238,0.012842,-0.003859,0.003874,0.022051,0.002697,0.009683,-0.01411,0.0,-0.005985,-0.002189,-0.013714,0.005562,-0.020465,0.007341,0.005045,0.010039,0.015461,0.001088,0.011407,0.003222,0.018737,0.016816,-0.002584,-0.000251,0.001565,-0.028125,-0.001608,0.012346,0.004242,-0.00132,-0.014539,0.002146
92032,666314.04,ALBIREO PHARMA INC,0.014512,-0.002649,0.001594,0.020419,0.034564,0.027882,-0.028104,0.049535,-0.030427,0.01359,0.027791,-0.00759,-0.014101,-0.011394,-0.015694,-0.008969,-0.028658,0.007764,-0.049307,0.015127,0.016498,-0.018063,-0.01413,-0.009194,0.013919,0.012651,-0.001329,-0.009316,-0.000537,-0.004301,0.005939,-0.044552,0.005899,0.017034,-0.042284,0.005161,0.03765,0.037108,-0.019348,0.003514,-0.012389,0.064903,0.056594,-0.003635,0.033812,-0.012941,0.021454,-0.001867,-0.024784,-0.042196,-0.052816,0.014535,-0.020578,-0.015957,0.024865,-0.033755,0.003821,-0.002719,-0.043621,-0.006271
77460,665997.72,VOYA PRIME RATE TRUST,0.006711,0.0,-0.004444,0.004464,-0.006667,0.004474,0.003207,0.0,-0.006681,0.004484,0.008929,-0.002212,-0.004435,0.0,-0.002227,0.0,0.0,0.004464,0.0,0.0,-0.004444,-0.002232,-0.013423,-0.002268,0.004545,0.006787,0.003034,0.002247,0.002242,0.004474,0.002227,-0.006667,0.002237,-0.002232,0.008949,0.008869,-0.002198,0.0,-0.006608,-0.004435,0.002227,0.002222,-0.004435,0.008909,0.002207,0.008811,-0.004367,0.000461,-0.002198,0.002203,0.004396,-0.004376,-0.002198,-0.004405,0.0,0.004425,0.0,0.002203,0.015385,0.002165
18056,665780.02,ELECTRAMECCANICA VEHICLES CORP,-0.066934,-0.001435,0.002874,-0.018625,0.090511,0.026774,-0.075619,-0.033851,-0.059854,-0.020186,0.079239,-0.038179,0.062595,0.047414,0.015089,-0.005405,-0.047554,-0.008559,-0.05036,-0.00303,0.004559,-0.06354,0.063005,0.019757,-0.008942,0.043609,-0.028819,0.0727,0.226833,-0.081173,-0.029448,-0.045512,0.005298,-0.00527,0.098013,-0.015682,-0.001226,0.058896,-0.07416,-0.017522,-0.020382,-0.005202,0.047059,0.014981,0.166052,-0.083333,-0.018412,0.03517,-0.04983,-0.056019,0.002525,-0.001259,-0.022699,-0.060645,-0.001374,-0.05227,-0.063861,0.035659,-0.05988,-0.017516
15903,665616.5549999999,LEGG MASON ETF INVESTMENT TR,0.003731,0.004638,0.003401,0.010138,-0.00456,0.002751,0.001829,-0.009431,0.000375,-0.008971,0.010012,-0.003165,0.004385,-0.004356,-0.007394,-0.00651,0.006864,0.001549,0.003994,-0.004595,0.003939,0.006205,-0.013259,0.004375,0.022402,-0.005478,-0.000612,-0.001225,0.001459,0.001059,0.004091,-0.000183,0.002132,0.003012,-0.005124,-0.004569,0.009009,0.006842,-0.006602,-0.005103,-0.01973,0.00578,0.004297,0.001068,0.005113,0.005603,0.002841,0.002128,-0.002408,-0.002755,0.002744,-0.007297,0.005819,0.002132,-0.004254,0.008407,0.003062,0.002513,-0.010924,-0.01451
86578,665397.1699999999,GOLDEN ENTERTAINMENT INC,0.015015,0.010059,0.018161,0.042002,-0.016566,0.030882,0.014706,-0.009662,-0.020596,-0.008854,0.063652,0.03937,0.006061,0.016566,-0.039506,-0.002571,0.029381,0.009514,-0.027778,-0.022959,0.015666,0.022622,-0.031674,0.03946,0.054945,-0.028883,-0.010239,0.010345,0.01609,-0.016315,-0.002927,-0.048434,0.024679,0.003011,0.0005,-0.0025,-0.058145,-0.040979,-0.056049,0.041152,-0.04009,0.019412,0.06809,0.014047,0.051145,-0.002027,0.01422,-0.005007,0.020131,0.003453,0.031465,0.043851,-0.007763,-0.015186,0.020094,0.03344,0.030585,0.023226,-0.02396,0.017657
13116,665389.27,BONANZA CREEK ENERGY INC,0.003172,0.007227,0.026009,0.08785,-0.055846,0.025532,-0.022407,0.035654,-0.043033,-0.065953,0.020174,-0.005843,-0.019892,-0.047971,-0.020833,-0.033152,0.04913,-0.016098,-0.037184,-0.013388,0.032881,-0.023244,0.037248,0.121197,0.041815,0.041845,-0.031967,-0.001694,0.05598,-0.059036,-0.024328,-0.02231,-0.003132,0.044435,-0.039106,-0.01297,-0.031264,-0.052853,-0.008889,0.046338,-0.016191,0.035334,0.037868,0.051802,-0.003854,0.016337,0.062606,0.003583,0.024594,-0.022455,0.032871,0.032976,0.002598,-0.012218,0.014243,0.078714,-0.022268,0.075683,0.036156,0.003772
14276,665145.0599999999,EASTMAN KODAK CO,-0.053735,0.004155,-0.002759,0.041494,0.598938,-0.07392,-0.133632,0.035197,0.01,-0.040594,-0.014448,-0.02199,0.047109,-0.019427,-0.016684,0.009544,-0.016807,-0.068376,-0.040138,-0.011947,0.042322,-0.055684,0.003685,0.011016,-0.012107,0.052696,-0.022119,-0.033333,-0.008621,-0.007453,0.042553,-0.022809,0.085995,0.021493,0.017719,0.02938,0.009514,-0.012565,0.281018,-0.182947,-0.028369,0.044838,-0.057884,0.163136,-0.021858,-0.001862,0.057836,0.048501,-0.039529,-0.023643,-0.033184,-0.044527,-0.035922,-0.052367,-0.007439,-0.029979,-0.028698,0.032955,-0.029703,-0.022676
16850,664813.92,MICRO FOCUS INTERNATIONAL PLC,0.030568,0.055085,0.146586,0.021016,0.121784,-0.055046,0.029126,-0.001572,-0.050394,-0.048093,0.047038,-0.033278,0.055078,-0.053834,-0.008621,0.006957,0.015544,-0.011905,-0.013769,0.006981,0.0,-0.010399,-0.049037,0.05709,-0.010453,0.005282,0.001751,-0.075175,0.030246,-0.020183,0.088015,-0.025818,-0.007067,0.001779,-0.01421,-0.003604,-0.045208,0.049242,0.066787,0.001692,-0.003378,-0.028814,0.020942,0.030769,0.024876,0.095469,-0.005908,0.068351,-0.086231,-0.00761,0.0,-0.055215,-0.034091,-0.006723,0.00846,-0.006711,0.013514,0.045,-0.043062,-0.026667
41241,664248.6,HAWKINS INC,0.01674,-0.000588,0.011179,0.03879,-0.011949,0.024943,-0.0059,-0.025223,-0.023973,-0.013645,0.049012,-0.027317,0.014914,-0.018512,-0.015555,0.018764,0.003296,0.008309,-0.002683,0.004996,-0.00325,0.003453,-0.007838,0.029287,0.067952,0.013146,-0.04135,-0.013716,0.022873,-0.026834,0.004596,-0.014822,0.019874,-0.017119,-0.014082,0.024244,-0.030092,-0.010405,-0.043204,0.025974,0.069718,0.024213,-0.007821,0.001433,0.011628,-0.002652,0.068262,0.028548,-0.003066,0.0208,0.006845,-0.02419,-0.009721,-0.013253,0.018239,0.014818,-0.011553,0.053896,-0.026494,-0.009494
