permno,mkt_cap,asset_name,2017-02-01,2017-02-02,2017-02-03,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-27,2017-02-28,2017-03-01,2017-03-02,2017-03-03,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28
13843,1134250.4000000001,HANNON ARMSTRONG SUST INFRA CAP,-0.004376,0.018132,-0.009714,-0.012534,0.007726,0.006024,0.01742,0.015516,0.002634,-0.006831,0.002646,0.005277,0.010499,0.014026,-0.016906,0.02814,0.004055,0.005553,-0.006526,0.008085,-0.003008,-0.003519,0.00555,-0.029604,-0.01758,-0.015789,-0.012834,0.014626,-0.016551,0.029859,0.008434,0.003659,-0.003646,0.010978,-0.016546,0.001052,0.018382,0.022176,-0.003532,0.008608,0.01506,-0.000989,-0.00396,0.001516,-0.001009,0.00404,0.015091,0.003964,0.009872,0.014174,0.008675,0.019589,0.008903,0.013005,-0.012838,-0.00836,0.012646,0.013414,0.01278,0.000451,-0.012613
82637,1134239.76,E N I SPA,-0.012294,0.000655,0.023241,-0.020793,-0.007514,-0.007242,0.018899,-0.001952,0.005869,0.002917,-0.015191,0.00361,-0.016678,0.024942,-0.01817,0.008923,-0.011137,0.00795,0.01676,0.022624,-0.004425,0.020635,-0.006532,-0.007201,-0.029328,0.014295,0.003203,0.000958,-0.017863,0.023709,0.02316,-0.005891,-0.007174,0.00754,0.000935,0.008411,0.000309,0.001544,0.002158,0.003692,0.000307,0.003065,-0.007333,0.004925,-0.016233,0.007783,-0.002162,-0.001548,0.007752,-0.004,-0.018536,0.003462,-0.012233,-0.005399,0.009259,-0.003748,0.034945,0.005049,-0.010675,-0.008569,-0.008323
14392,1133331.24,E P ENERGY CORP,-0.005725,0.055662,0.043636,-0.050523,-0.053211,-0.025194,0.001988,0.047619,-0.022727,0.00969,-0.040307,-0.024,-0.008197,0.012397,-0.030612,0.04,-0.026316,0.008316,-0.026804,0.016949,-0.060417,0.008869,0.002198,-0.010965,-0.090909,0.090244,-0.029083,-0.009217,-0.034884,0.043374,-0.011547,-0.021028,0.019093,-0.04918,0.08867,0.002262,-0.013544,-0.022883,0.063232,0.019824,-0.00648,0.032609,-0.012632,0.023454,-0.010417,0.018947,-0.010331,0.039666,0.012048,0.011905,-0.045098,0.00616,-0.004082,-0.032787,-0.004237,0.0,0.014894,0.031447,-0.002033,-0.040733,-0.04034
75175,1132504.8,M B I A INC,0.02451,-0.009569,0.007729,-0.010547,0.002907,-0.005797,0.013606,0.006711,0.005714,0.000947,0.001892,-0.002833,-0.029356,0.032195,0.002836,0.024505,-0.036799,-0.006686,-0.007692,-0.01938,-0.01581,-0.019076,-0.019447,0.008351,-0.036232,-0.008593,0.004334,0.005394,-0.007511,-0.002162,0.011918,-0.046039,-0.054994,-0.026128,-0.02561,0.007509,0.008696,0.004926,0.002451,0.008557,0.021818,0.004745,-0.029516,0.060827,-0.013762,0.053488,-0.014349,0.011198,-0.003322,-0.002222,-0.032294,0.003452,0.0,-0.002294,0.002299,-0.021789,0.021102,0.004592,-0.011429,-0.016185,-0.012926
13993,1131927.5,G T T COMMUNICATIONS INC,-0.012389,-0.017921,0.027372,-0.023091,0.005455,0.0,0.025317,-0.007055,0.015986,0.005245,0.001739,0.008681,-0.001721,-0.017241,0.010526,-0.012153,-0.015817,0.032143,-0.034602,0.010753,-0.02305,-0.019964,-0.024074,0.020873,-0.052045,-0.078431,0.021277,0.025,-0.042683,0.057325,0.014056,0.00396,-0.005917,-0.041667,-0.024845,-0.012739,0.017204,-0.006342,0.006383,0.002114,0.031646,-0.00409,-0.032854,0.016985,-0.012526,0.046512,0.016162,0.019881,-0.001949,-0.009766,0.005917,0.029412,0.00381,0.030361,0.016575,0.019928,-0.003552,0.024956,-0.013913,-0.017637,-0.012567
89482,1131524.8,BANC OF CALIFORNIA INC,0.012658,-0.0125,0.03481,-0.009174,0.006173,-0.01227,0.226708,0.007595,0.012563,-0.002481,0.017413,-0.007335,-0.022167,-0.002519,-0.015152,0.002564,-0.01023,0.033592,-0.0275,0.056555,-0.014599,0.002469,-0.017241,0.025063,-0.00489,0.017199,0.009662,-0.005742,0.0,0.012107,-0.007177,0.0,0.00241,-0.028846,-0.017327,0.017632,0.00495,0.022168,0.009639,-0.011933,0.009662,-0.009569,-0.024155,-0.012376,-0.002506,0.032663,-0.014599,0.002469,0.06404,-0.009259,-0.016355,0.030879,-0.011521,-0.006993,0.030517,0.006834,0.002262,0.020316,-0.006637,-0.020045,-0.013636
44943,1130883.11,DIODES INC,0.012053,-0.014688,0.024577,-0.016909,0.0012,-0.015981,-0.007714,-0.000818,-0.001229,-0.01066,0.065479,0.002334,-0.010089,0.0294,-0.00952,-0.003076,-0.042036,0.002818,-0.04175,0.025974,-0.005921,-0.010064,0.009959,0.004519,-0.002863,-0.003691,0.007822,0.006536,-0.01664,-0.000413,0.0,0.016102,-0.009346,-0.034044,-0.004671,0.011945,0.012648,-0.00791,-0.005455,0.003376,0.011354,0.0,-0.039917,-0.026418,-0.007562,0.031376,0.050413,-0.003724,-0.008721,-0.005446,-0.029907,0.009119,-0.010327,0.014348,0.025718,-0.014208,0.015261,0.003758,0.003328,0.001244,-0.03147
72338,1129695.6,NATIONAL HEALTHCARE CORP,-0.003073,-0.008443,-0.000811,-0.019072,-0.00786,-0.013482,0.014089,0.00653,0.003727,0.003575,0.003151,0.00683,-0.001899,0.009107,0.005792,-0.003616,-0.001479,0.002423,0.002014,0.006567,-0.009053,-0.000537,-0.004033,0.002969,-0.010766,-0.004489,0.00205,0.002591,-0.007889,0.018371,-0.003366,-0.011347,-0.013936,-0.004018,0.002782,0.004994,-0.009111,-0.003065,0.001677,-0.004743,0.010721,-0.004885,-0.018794,0.001429,-0.001285,0.014721,-0.002113,0.002964,0.013369,-0.016109,-0.007622,0.009529,-0.004649,0.001557,0.024025,0.017527,-0.008002,0.008477,0.006643,-0.000943,0.003235
89139,1129229.85,FRONTLINE LTD,-0.012968,-0.013139,0.014793,-0.011662,0.001475,-0.010309,0.004464,0.048889,0.007062,-0.00561,-0.011284,-0.011412,0.008658,-0.004292,-0.015805,-0.00292,-0.010249,-0.004438,0.026746,0.033285,-0.008403,-0.016949,0.005747,-0.015714,-0.007257,0.001462,0.010448,0.008863,-0.019034,0.019403,0.038067,-0.004231,0.001416,-0.032532,-0.008772,0.007375,-0.001464,-0.004399,0.004418,0.014663,-0.013006,-0.013177,0.0,-0.005935,-0.010448,0.00905,0.0,0.03139,0.007246,-0.025899,-0.017725,0.013534,-0.005935,-0.00597,0.0,-0.004504,0.006033,0.008995,-0.008915,-0.001499,-0.001501
76722,1128593.74,STATE AUTO FINANCIAL CORP,-0.023357,0.01743,0.007968,-0.006324,-0.005967,0.002001,0.006789,0.0,0.005157,0.04854,-0.042906,0.012977,0.009317,0.008846,0.014487,0.008268,-0.003727,-0.004115,0.007889,0.01789,-0.004028,0.0,-0.000735,0.008094,0.00365,-0.013818,-0.000369,0.005183,-0.004052,0.001479,0.024372,0.002523,-0.004315,-0.014807,0.004032,0.00146,0.002552,0.010182,-0.00288,-0.006137,0.001453,-0.004353,-0.010565,-0.000368,0.004052,-0.010272,-0.006301,0.00373,0.002973,-0.008892,-0.003738,0.007129,0.005961,-0.001852,-0.016327,-0.00943,0.011424,0.00866,0.020903,-0.002925,-0.014668
