permno,mkt_cap,asset_name,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31
86949,5516370.75,SKECHERS U S A INC,0.019737,-0.019662,-0.02037,-0.006398,0.005151,-0.009609,0.008409,0.026299,0.014375,-0.004929,0.004334,0.011097,0.025,0.002677,-0.015722,0.014768,-0.003861,0.034287,-0.002306,-0.001445,0.015625,0.009972,-0.007616,-0.022456,0.014539,0.013758,0.007634,0.022447,-0.003567,0.010741,0.005994,0.032774,-0.004196,-0.009481,-0.000798,0.01703,0.002616,0.008873,-0.005691,0.002081,-0.017653,0.016121,0.007282,-0.012394,-0.011765,0.005027,0.007107,0.012023,-0.000775,-0.003618,-0.016602,0.031126,0.013558,0.01893,0.004211,0.010114,-0.010745,0.004443,0.004915,-0.001223,-0.014936,0.023863
91635,5512542.27,D C T INDUSTRIAL TRUST INC,0.009997,0.007167,0.003219,0.008951,0.004854,0.005331,-0.009445,-0.000502,0.016234,0.000494,-0.01893,0.015772,-0.005946,0.000665,0.019927,-0.005698,-0.004257,0.000164,-0.003782,-0.008087,0.000666,-0.002162,-0.011165,-0.010785,-0.002215,0.015537,0.003699,-0.007873,0.004559,-0.00437,0.002026,0.001348,-0.002355,-0.024621,-0.005187,0.0,0.007695,0.00781,0.011366,0.005619,-0.004741,-0.012759,-0.002068,-0.012606,-0.003323,0.003334,0.002274,-0.015704,-0.001241,0.002662,0.004603,0.006872,-0.015926,0.013694,0.024737,0.008731,0.00017,0.002545,-0.00457,-0.010543,-0.002578,0.019814
10874,5505178.2,BRUNSWICK CORP,0.015992,-0.024096,0.026683,0.001358,-0.039899,0.004236,-0.018883,-0.000614,0.000615,0.008599,0.005278,0.016155,0.021463,0.008755,0.01626,0.001714,-0.000761,0.005709,0.036329,0.014972,-0.004317,-0.011743,-0.000914,0.024337,-0.008396,0.010269,-0.006419,0.001615,-0.015051,0.011279,-0.011693,0.001092,0.001818,-0.001815,0.000545,0.017445,-0.004465,-0.003768,-0.005763,0.006702,-0.006477,0.013944,0.004644,-0.008533,0.017751,0.003347,-0.013169,-0.012633,0.028474,0.009813,-0.010932,0.020526,-0.005845,0.010029,-0.002568,0.015105,0.014542,-0.001167,0.001168,-0.002167,0.056289,-0.007274
76282,5494713.68,AUTONATION INC DEL,0.004219,0.148109,-0.017566,0.014342,-0.028278,-0.017952,-0.010006,0.020019,0.004764,0.009672,-0.002254,-0.019955,-0.006531,0.002513,0.006943,-0.002298,0.009407,-0.000761,0.015036,0.038065,0.000181,-0.00596,0.021984,-0.007289,-0.010029,0.001809,0.003792,-0.002518,-0.017493,-0.004038,-0.033911,0.002862,0.023207,-0.021937,-0.008173,-0.012265,0.0,0.00194,-0.003679,-0.001361,-0.000973,0.022209,0.024395,0.016744,0.017017,0.02321,-0.008616,-0.004966,0.028521,0.004506,-0.012422,-0.015199,0.001064,0.044303,0.018836,0.000999,0.015308,0.003769,0.012245,-0.015,0.000328,-0.014241
76804,5491802.94,M G I C INVESTMENT CORP WIS,-0.015385,0.013494,-0.057463,0.009665,-0.018409,0.012753,-0.005926,-0.00149,0.018657,-0.001465,0.02788,0.022841,0.004187,0.016678,0.000684,-0.011612,0.001382,-0.007591,0.030598,0.006748,-0.020107,0.024624,0.0247,0.003257,0.003247,-0.008414,0.003916,0.002601,0.001297,-0.01943,-0.029062,0.007483,0.007427,-0.014075,0.027872,-0.011243,-0.026756,-0.000687,-0.011004,0.002086,-0.020819,0.010631,-0.009116,0.010616,0.003501,0.010468,0.013812,0.004087,0.029851,-0.003953,0.0,0.005291,0.030921,0.000638,0.008291,0.0,-0.015813,-0.014782,-0.011089,-0.013193,0.002674,-0.012
66376,5486111.75486,WATSCO INC,-0.006844,0.003748,-0.002108,0.002776,0.008727,-0.012469,-0.005558,0.002734,-0.004059,-0.001156,0.0,0.010719,-0.006508,-0.001031,-0.001761,-0.001886,0.002316,0.0,0.007235,0.00501,0.006006,-0.009015,0.015182,-0.006112,-0.003344,0.009166,0.006115,-0.007376,0.003507,-0.002784,-0.016692,-0.001631,0.014159,0.000119,0.006264,0.000534,-0.002844,0.006239,0.006732,0.005279,-0.007819,-0.001,0.002472,0.000117,0.006048,0.012315,-0.002248,-0.007916,0.019687,0.002399,-0.005108,0.001788,0.000115,0.012609,-0.005288,0.006974,0.005336,0.017222,0.007716,-0.009585,-0.001224,0.001169
82486,5485405.640000001,ERIE INDEMNITY CO,0.011424,0.004256,0.00106,-0.002524,-0.000571,-0.003348,-0.002376,0.007639,-0.007988,0.005259,0.00376,-0.004316,0.003926,-0.005621,0.009504,-0.011443,0.004844,0.004902,0.0,0.006341,0.000889,-0.020583,0.006099,-0.009666,0.001902,-0.006604,-0.008892,0.005786,0.001667,-0.021806,-0.012252,0.017314,-0.002371,0.009336,-0.00597,0.003468,0.007924,0.002844,-0.000834,0.011269,0.005695,-0.020601,0.00176,-0.000167,0.00251,-0.013532,-0.009031,-0.000344,0.008429,-0.001279,-0.011187,0.012436,-0.002047,0.019403,-0.012829,0.005521,-0.001436,0.000423,0.004651,-0.008669,-0.003311,0.011671
92766,5479260.0,ISHARES TRUST,0.008631,0.00237,-0.003152,0.0083,-0.004573,0.005119,-0.006008,-0.000394,0.000394,-0.005781,-0.005683,0.01967,-0.000261,0.005346,0.015173,0.001022,-0.001021,-0.016607,0.007015,-0.015351,-0.009171,-0.006611,-0.00173,0.000267,-0.015463,0.007447,0.01223,0.005842,-0.008052,0.013706,-0.009058,-0.000265,0.005433,-0.001663,0.001074,0.005496,0.007466,-0.004102,0.001462,0.008359,0.003684,0.020975,0.008731,0.001655,0.00915,0.001007,-0.001006,-0.006171,0.006082,0.009446,-0.004616,0.012033,-0.002972,0.010186,0.004796,0.006609,0.002553,-0.002547,0.015198,-0.014252,-0.01385,0.007515
79244,5469423.499999999,U S G CORP,0.003495,-0.014514,0.003829,-0.005282,-0.0118,-0.007463,0.006316,0.013449,0.005308,0.0044,-0.004089,0.009971,0.004065,0.009254,0.012034,0.007361,0.003654,-0.00336,0.032874,0.023123,0.010635,-0.002368,0.006329,-0.011793,-0.010607,0.001608,0.013647,-0.023495,-0.001893,-0.000813,-0.009488,0.00821,0.020087,-0.007451,0.014745,0.011625,-0.009663,0.011076,0.00939,-0.002584,-0.001036,-0.006224,0.002871,-0.010929,0.066562,0.006907,-0.022538,-0.015288,0.005345,0.000759,-0.022768,0.017344,-0.001272,-0.002803,-0.006387,-0.015685,0.028474,0.00762,0.011848,-0.020678,-0.007123,-0.00948
80415,5453361.45,EAGLE MATERIALS INC,-0.002179,-0.014999,0.001928,-0.001731,-0.002794,0.008407,-0.003258,-0.004134,0.007819,-0.000479,-0.010446,0.018594,0.004849,-0.001514,0.00777,-0.001504,0.000471,-0.014872,0.023791,0.010266,0.033995,-0.00536,0.018953,-0.018865,0.003414,0.023729,0.015919,-0.010073,-0.023743,0.002494,-0.023194,-0.007551,0.0187,-0.026546,0.007303,0.014224,-0.005977,0.013757,0.0071,0.001963,0.009084,0.033451,0.002818,-0.003577,0.012991,0.009366,-0.018139,-0.005364,0.021313,0.006286,-0.018656,-0.008232,-0.008301,0.009751,0.006666,0.002971,0.004401,8.4e-05,0.01365,-0.018703,-0.003473,-0.047518
