asset_name,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-21,2022-11-22,2022-11-23,2022-11-25,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-30,2023-01-31
D R HORTON INC,0.006374,-0.028435,-0.020487,0.021051,-0.000665,-0.02489,0.029757,0.112407,0.011916,-0.040391,0.032888,-0.012475,-0.018407,-0.002451,-0.009338,0.025177,0.02226,-0.007219,-0.006914,0.010923,0.021135,0.011047,-0.004268,-0.018649,-0.009561,0.028125,-0.003941,-0.006866,0.010077,0.012645,0.00126,0.034897,-0.01183,-0.014433,-0.004995,0.023959,0.006685,-0.01295,0.001009,-0.016803,0.018571,-0.002908,0.017276,0.010587,0.007311,0.013758,-0.008656,0.008731,0.0218,-0.000314,-0.006591,0.004212,-0.006816,-0.028403,0.026733,0.012701,0.013796,-0.01567,0.01393,-0.002996,-0.017509,0.040704
ILLUMINA INC,-0.042348,-0.037193,0.004503,0.058652,-0.031958,0.003914,-0.010044,0.1123,0.011038,-0.033657,0.016711,-0.028094,-0.030674,-0.018337,0.017501,-0.010026,-0.000405,-0.013914,-0.009498,-0.038449,0.045596,0.012748,-0.009508,-0.022399,-0.036847,0.012331,0.009112,-0.022812,0.014104,0.010742,-0.003701,-0.012001,-0.038176,-0.039842,-0.000678,0.031338,-0.008508,-0.023189,-0.012916,0.010807,0.056758,0.002777,-0.006578,0.008662,-0.007206,0.003579,0.026948,-0.062033,0.04937,-0.050478,0.037987,0.026503,-0.002906,-0.045958,0.040788,0.058662,-0.005684,-0.019103,0.008245,0.005875,-0.018362,0.019515
CONSOLIDATED EDISON INC,0.000682,0.002159,0.005895,0.014764,-0.026544,0.007302,-0.007022,0.037413,-0.020121,0.002356,0.012986,0.018283,-0.005802,0.029953,0.006629,0.011365,0.015228,0.008586,-0.009846,-0.002486,0.018069,-0.001938,-0.00511,0.000205,0.001951,-0.009943,0.010353,-0.010862,0.018854,0.001627,-0.000711,-0.014831,-0.018664,-0.003362,-0.002741,0.011946,-0.00585,0.007251,0.007303,-0.006007,0.005418,-0.012229,0.004721,0.008667,-0.013459,0.026656,-0.001124,0.003786,0.005301,-0.010952,-0.010663,-0.010364,-0.022516,-0.009214,0.014165,-0.002559,0.005345,0.004253,0.004553,0.000316,0.001475,0.002735
RESMED INC,-0.012607,-0.012994,-0.04156,0.009333,0.008298,0.004091,-0.005199,0.06237,-0.009548,-0.00964,0.01245,0.004248,-0.024936,0.024751,0.00361,0.019759,-0.001393,0.002529,-0.01905,-0.010375,0.031362,-0.003736,0.015523,-0.058179,-0.007386,0.020438,0.00144,-0.012674,0.005554,0.012675,-0.012696,-0.026352,-0.024368,-0.003098,-0.001147,0.005888,-0.004759,-0.003921,-0.006864,-0.005413,0.017495,-0.005922,0.004709,0.00856,-0.027643,0.018628,0.00383,0.014259,0.008699,-0.002471,0.019159,0.033379,0.002618,0.014737,0.023681,0.007668,-0.012303,-0.01053,0.004369,-0.032649,-0.008371,0.025414
B P PLC,-0.002404,-0.013253,0.008547,0.026634,0.012087,-0.017478,-0.030822,0.019177,0.027011,-0.00857,0.01073,0.001769,0.011186,-0.009025,-0.026733,0.053124,0.00258,0.00829,-0.015311,0.0167,0.016709,-0.005014,-0.010078,-0.010181,-0.018,-0.013384,0.00059,-0.006484,0.011569,0.026686,-0.005998,-0.014943,-0.017503,0.008017,0.003829,0.027876,-0.017699,0.017437,0.000857,-0.013128,0.00347,0.006628,-0.017464,-0.015734,0.003552,0.016519,0.008996,0.002301,0.005452,0.007705,0.00708,0.003656,-0.009807,0.005659,-0.001126,0.002254,-0.008151,-0.001417,0.028661,0.001931,-0.00413,0.001659
AMETEK INC NEW,0.018279,-0.014694,0.01253,0.026799,0.008503,0.006012,-0.01115,0.036775,-0.013008,-0.007706,0.005806,-7.2e-05,-0.003897,0.009346,0.008326,0.008257,0.003106,0.003449,-0.022515,-0.002512,0.024531,0.006109,0.007677,-0.015998,-0.014358,0.00472,0.001993,-0.011722,0.021278,0.009643,-0.011782,-0.024691,-0.010705,0.001535,0.005621,0.018947,-0.014534,0.007663,0.005381,-0.012631,0.014527,-0.004631,0.005726,0.002348,-0.020376,0.04247,-0.009316,0.002175,0.018696,0.000481,0.003985,-0.010265,-0.022195,-0.0169,0.024959,0.00386,0.0072,-0.008884,0.005252,0.002438,-0.011049,0.01834
DOLLAR TREE INC,-0.002398,-0.031116,0.018277,0.002564,0.02321,0.006624,-0.03855,0.053202,0.015265,-0.006703,0.026383,-0.015044,-0.015634,-0.002077,0.011508,-0.077887,-0.014635,0.007926,-0.023327,-0.008796,0.02587,-0.003793,0.009885,-0.022222,-0.018601,-0.000689,-0.00338,-0.015156,0.013421,0.002357,0.01342,-0.009488,-0.016953,-0.022643,-0.001506,0.006968,-0.000927,0.013281,0.001832,-0.004431,0.010245,-0.01084,-0.008343,0.001854,0.014518,0.022938,-0.012755,0.013267,0.014121,-0.008923,0.004365,0.003192,-0.02288,-0.010669,0.034872,0.021652,-0.029605,0.020748,0.005951,-0.000532,-0.010108,0.008935
HERSHEY CO,-0.00423,-0.011146,-0.012845,-0.013185,0.001179,0.007719,-0.001515,-0.019157,-0.032788,-0.003472,-0.003714,0.026874,-0.002214,0.016199,0.030727,0.000258,-8.6e-05,0.006848,-0.004834,-0.009199,0.020305,-0.01399,0.012291,-0.006305,-0.002958,0.017759,0.019519,-0.018814,0.010643,-0.01237,-0.001354,-0.007923,0.003673,-0.000468,-0.005279,0.005692,-0.000213,0.004044,-0.000636,-0.012133,0.001632,-0.007203,-0.020037,-0.016128,-0.000851,0.011521,-0.001152,-0.002706,0.008052,-0.010592,0.010794,-0.001986,-0.041519,-0.002999,-0.007403,0.011747,0.014974,0.003178,-0.004435,-0.005682,0.020251,0.006318
ALBEMARLE CORP,-0.003109,-0.044731,0.030167,0.037988,0.005263,0.068135,-0.019215,0.06877,0.014372,-0.027752,-0.06477,-0.030724,-0.0325,-0.001694,0.021301,0.000742,0.002861,-0.039028,-0.024595,0.014693,0.029516,-0.009713,0.032656,-0.067011,-0.027297,-0.001473,-0.006133,-0.010858,0.024126,0.009832,-0.053644,-0.028101,0.009813,-0.0392,0.000686,-0.003726,-0.028586,0.004337,-0.056398,-0.00056,0.016025,-0.002805,-0.010883,0.042284,-0.022186,0.01386,0.010648,-0.000446,0.056543,0.028111,-0.004029,0.003468,0.003003,-0.019237,0.039229,0.048895,0.015155,0.024151,0.031257,0.008123,-0.034573,0.034819
DIGITAL REALTY TRUST INC,-0.033716,-0.027253,0.007641,0.019168,0.00465,0.012652,-0.013814,0.118447,0.027535,-0.037283,0.041426,-0.018057,-0.005098,0.010705,0.001177,-0.009856,0.013607,0.002523,-0.034061,0.011816,0.034115,-0.006758,-0.00761,-0.015246,-0.010169,0.006941,-0.013603,-0.003354,0.012809,0.025478,-0.047079,-0.00344,-0.026275,-0.021174,-0.00654,0.017318,-0.005874,0.010114,-0.005155,-0.009467,0.019115,-0.010168,0.025531,0.007974,-0.053739,0.033646,-0.002367,0.011667,0.026486,0.021423,-0.011931,0.008019,-0.013196,-0.004552,0.016959,0.004497,-0.002052,0.001776,0.019778,0.018297,-0.002515,0.032334
